master_id,recency,frequency,monetary,recency_score,monetary_score,frequency_score,RF_SCORE,segment
00016786-2f5a-11ea-bb80-000d3a38a36f,10,1,776.0699999999999,5,4,1,51,new_customers
00034aaa-a838-11e9-a2fc-000d3a38a36f,298,1,269.46999999999997,1,1,1,11,hibernating
000be838-85df-11ea-a90b-000d3a38a36f,213,1,722.69,2,4,1,21,hibernating
000c1fe2-a8b7-11ea-8479-000d3a38a36f,27,1,874.1600000000001,5,4,1,51,new_customers
000f5e3e-9dde-11ea-80cd-000d3a38a36f,20,1,1620.33,5,5,1,51,new_customers
00136ce2-a562-11e9-a2fc-000d3a38a36f,203,1,359.45,2,2,1,21,hibernating
00142f9a-7af6-11eb-8460-000d3a38a36f,25,1,404.94,5,2,1,51,new_customers
0014778a-5b11-11ea-9a2c-000d3a38a36f,26,1,727.4300000000001,5,4,1,51,new_customers
0018c6aa-ab6c-11e9-a2fc-000d3a38a36f,126,1,317.90999999999997,3,2,1,31,need_attention
0022f41e-5597-11eb-9e65-000d3a38a36f,12,1,154.98,5,1,1,51,new_customers
0025f17c-eeaf-11ea-bb5a-000d3a38a36f,186,1,791.97,2,4,1,21,hibernating
00263f1a-210a-11ea-b50a-000d3a38a36f,362,1,501.94,1,3,1,11,hibernating
00266a76-312c-11ea-b884-000d3a38a36f,184,1,1249.58,2,5,1,21,hibernating
002bdaa8-9ee9-11ea-80cd-000d3a38a36f,46,1,962.87,4,4,1,41,promising
003334c0-2b61-11ea-9d27-000d3a38a36f,35,1,512.95,4,3,1,41,promising
0033a502-5bf1-11ea-829b-000d3a38a36f,105,1,788.73,3,4,1,31,need_attention
0033f078-7359-11ea-92d0-000d3a38a36f,360,1,153.98,1,1,1,11,hibernating
003705ee-a800-11e9-a2fc-000d3a38a36f,169,1,304.26,2,2,1,21,hibernating
003903e0-abce-11e9-a2fc-000d3a38a36f,68,1,577.47,4,3,1,41,promising
003c4ebc-aa23-11e9-a2fc-000d3a38a36f,108,1,360.76,3,2,1,31,need_attention
00414e84-adc6-11e9-a2fc-000d3a38a36f,120,1,303.44,3,2,1,31,need_attention
00425f66-5b51-11ea-96d8-000d3a38a36f,199,1,419.96000000000004,2,2,1,21,hibernating
004bec18-9f7a-11e9-a2fc-000d3a38a36f,99,1,684.91,3,4,1,31,need_attention
004d5204-2037-11ea-87bf-000d3a38a36f,27,1,1170.76,5,5,1,51,new_customers
00521bd0-b0c6-11e9-9757-000d3a38a36f,7,1,157.47,5,1,1,51,new_customers
00534fe4-a6b4-11e9-a2fc-000d3a38a36f,63,1,800.59,4,4,1,41,promising
0053a6ea-ad0a-11e9-a2fc-000d3a38a36f,117,1,394.49,3,2,1,31,need_attention
00596df0-abca-11e9-a2fc-000d3a38a36f,213,1,1408.3600000000001,2,5,1,21,hibernating
005c7914-9e78-11e9-9897-000d3a38a36f,279,1,264.48,1,1,1,11,hibernating
006633b6-a6b9-11e9-a2fc-000d3a38a36f,61,1,2050.5,4,5,1,41,promising
00663454-520f-11ea-a243-000d3a38a36f,25,1,361.94,5,2,1,51,new_customers
0067708e-1ec6-11ea-aa32-000d3a38a36f,7,1,397.3,5,2,1,51,new_customers
0067e5b2-5447-11ea-b1db-000d3a38a36f,10,1,282.36,5,1,1,51,new_customers
006981e0-66eb-11ea-82da-000d3a38a36f,186,1,234.48,2,1,1,21,hibernating
006bb20e-a9a8-11e9-a2fc-000d3a38a36f,188,1,620.41,2,3,1,21,hibernating
00736820-a834-11e9-a2fc-000d3a38a36f,26,1,714.5300000000001,5,4,1,51,new_customers
00740768-d6d7-11e9-93bc-000d3a38a36f,17,1,294.45,5,1,1,51,new_customers
00753baa-0090-11ea-a5e8-000d3a38a36f,26,1,516.67,5,3,1,51,new_customers
007a2954-4b66-11eb-806e-000d3a38a36f,77,1,572.98,4,3,1,41,promising
007bc81a-234b-11eb-99f8-000d3a38a36f,63,1,441.47,4,2,1,41,promising
007cdfe4-1f54-11ea-87bf-000d3a38a36f,355,1,778.88,1,4,1,11,hibernating
007e118c-5bf1-11ea-97fc-000d3a38a36f,186,1,340.90999999999997,2,2,1,21,hibernating
007e8be6-a871-11e9-a2fc-000d3a38a36f,165,1,550.59,2,3,1,21,hibernating
008073a4-bbab-11ea-a0c9-000d3a38a36f,202,1,532.8199999999999,2,3,1,21,hibernating
0082e79e-5b50-11ea-ba9b-000d3a38a36f,318,1,279.96999999999997,1,1,1,11,hibernating
00842ccc-15ea-11ea-aa74-000d3a38a36f,305,1,189.97,1,1,1,11,hibernating
00844650-a937-11e9-a2fc-000d3a38a36f,174,1,746.7,2,4,1,21,hibernating
0087ec3e-ad64-11e9-a2fc-000d3a38a36f,121,1,390.95,3,2,1,31,need_attention
00898b48-5b92-11ea-a592-000d3a38a36f,348,1,260.81,1,1,1,11,hibernating
009293fe-1f3e-11ea-87bf-000d3a38a36f,129,1,725.1800000000001,3,4,1,31,need_attention
009e2910-1252-11ea-a001-000d3a38a36f,28,1,1109.6,5,5,1,51,new_customers
00a10df4-5f9d-11ea-8dd8-000d3a38a36f,134,1,906.34,3,4,1,31,need_attention
00a3f278-ddbe-11e9-9cd3-000d3a38a36f,280,1,431.96000000000004,1,2,1,11,hibernating
00a5009a-2558-11eb-a59b-000d3a38a36f,6,1,245.87,5,1,1,51,new_customers
00a7bc8e-b085-11e9-9757-000d3a38a36f,92,1,610.33,3,3,1,31,need_attention
00a9f3a6-5318-11ea-acd3-000d3a38a36f,172,1,229.95999999999998,2,1,1,21,hibernating
00b37b0c-b0a6-11e9-9757-000d3a38a36f,124,1,1042.77,3,5,1,31,need_attention
00b38808-541c-11ea-b1db-000d3a38a36f,344,1,456.22,1,3,1,11,hibernating
00b3ee24-aa44-11e9-a2fc-000d3a38a36f,24,1,2027.78,5,5,1,51,new_customers
00c2168c-a875-11e9-a2fc-000d3a38a36f,120,1,381.96,3,2,1,31,need_attention
00c4e990-edfb-11e9-9346-000d3a38a36f,64,1,592.86,4,3,1,41,promising
00cf8494-9da2-11e9-9897-000d3a38a36f,5,1,6275.33,5,5,1,51,new_customers
00d2268e-5b36-11ea-8ca6-000d3a38a36f,140,1,255.56,3,1,1,31,need_attention
00d37630-2b32-11ea-9d27-000d3a38a36f,38,1,2349.8199999999997,4,5,1,41,promising
00d46324-8f9b-11ea-8f41-000d3a38a36f,186,1,427.90000000000003,2,2,1,21,hibernating
00dc8510-908d-11eb-bae6-000d3a38a36f,2,1,361.0,5,2,1,51,new_customers
00dfa312-e5e4-11e9-ad00-000d3a38a36f,25,1,508.45,5,3,1,51,new_customers
00e58b24-5b4b-11ea-ac70-000d3a38a36f,162,1,209.98,2,1,1,21,hibernating
00e65764-fe5a-11e9-a5e8-000d3a38a36f,164,1,357.45000000000005,2,2,1,21,hibernating
00eb056a-38df-11ea-85d6-000d3a38a36f,163,1,429.89000000000004,2,2,1,21,hibernating
00ede098-9e6e-11e9-9897-000d3a38a36f,332,1,339.99,1,2,1,11,hibernating
00ef026e-5428-11ea-b1db-000d3a38a36f,37,1,474.7,4,3,1,41,promising
00ef42be-15e5-11ea-aa74-000d3a38a36f,51,1,172.98,4,1,1,41,promising
00f037ce-9fa6-11e9-a2fc-000d3a38a36f,58,1,1896.0300000000002,4,5,1,41,promising
00f1f9ce-bbb1-11ea-a0c9-000d3a38a36f,201,1,719.09,2,4,1,21,hibernating
00f53518-ab9e-11e9-a2fc-000d3a38a36f,88,1,349.94,3,2,1,31,need_attention
00f6c98e-abb5-11e9-a2fc-000d3a38a36f,163,1,2199.8,2,5,1,21,hibernating
00f6ec78-5b07-11ea-a06d-000d3a38a36f,23,1,750.95,5,4,1,51,new_customers
00f7553c-5bbb-11ea-b88d-000d3a38a36f,174,1,1754.27,2,5,1,21,hibernating
00f9ba18-aab1-11e9-a2fc-000d3a38a36f,43,1,579.2,4,3,1,41,promising
00fa3c44-748c-11eb-8577-000d3a38a36f,7,1,229.96,5,1,1,51,new_customers
00fb8870-d676-11e9-93bc-000d3a38a36f,27,1,186.48000000000002,5,1,1,51,new_customers
00fd8d32-9d73-11e9-9897-000d3a38a36f,73,1,775.6800000000001,4,4,1,41,promising
01024718-52fa-11ea-9ade-000d3a38a36f,24,1,551.14,5,3,1,51,new_customers
01025b92-ae5c-11e9-a2fc-000d3a38a36f,46,1,826.91,4,4,1,41,promising
01025f80-1193-11ea-846f-000d3a38a36f,27,1,192.49,5,1,1,51,new_customers
01047d5e-62c1-11ea-9861-000d3a38a36f,33,1,297.35,5,1,1,51,new_customers
0104f00a-4cb8-11ea-a626-000d3a38a36f,12,1,508.86,5,3,1,51,new_customers
010a7a9c-94d0-11ea-85df-000d3a38a36f,314,1,485.31999999999994,1,3,1,11,hibernating
010be698-1942-11ea-b6a2-000d3a38a36f,67,1,573.8000000000001,4,3,1,41,promising
010ed02c-ac70-11e9-a2fc-000d3a38a36f,176,1,853.8699999999999,2,4,1,21,hibernating
01111a3e-b144-11e9-9757-000d3a38a36f,317,1,558.71,1,3,1,11,hibernating
0117c094-63e8-11ea-a6dc-000d3a38a36f,249,1,339.49,1,2,1,11,hibernating
0118ddc6-9fb7-11e9-a2fc-000d3a38a36f,217,1,840.4300000000001,2,4,1,21,hibernating
0119d05e-502a-11ea-99ba-000d3a38a36f,65,1,474.96000000000004,4,3,1,41,promising
012820ba-7189-11eb-a3e2-000d3a38a36f,50,1,384.15999999999997,4,2,1,41,promising
012fe082-b134-11e9-9757-000d3a38a36f,136,1,609.9399999999999,3,3,1,31,need_attention
01319a02-5bd5-11ea-a94f-000d3a38a36f,20,1,402.46000000000004,5,2,1,51,new_customers
01395196-ae76-11e9-a2fc-000d3a38a36f,4,1,304.96,5,2,1,51,new_customers
013a12e0-606c-11ea-8dd8-000d3a38a36f,13,1,304.97,5,2,1,51,new_customers
0145a826-a7f3-11e9-a2fc-000d3a38a36f,356,1,685.39,1,4,1,11,hibernating
014b3e58-d6b5-11e9-93bc-000d3a38a36f,202,1,619.67,2,3,1,21,hibernating
014dee3a-aae8-11e9-a2fc-000d3a38a36f,313,1,170.06,1,1,1,11,hibernating
014efd32-b193-11e9-89fa-000d3a38a36f,338,1,488.93,1,3,1,11,hibernating
015015b4-a7c5-11e9-a2fc-000d3a38a36f,209,1,654.4300000000001,2,3,1,21,hibernating
0151bbee-a7de-11e9-a2fc-000d3a38a36f,14,1,2649.02,5,5,1,51,new_customers
